path,type,name,signature,language,intent,category,domain,imports,calls,depends_on,lines,complexity,is_public,is_async,hash
code2logic/cli.py,function,ensure_dependencies,(),python,Auto-install optional dependencies for best results.,other,code2logic,"argparse,os,sys,subprocess",,,37,1,True,False,97307bce
code2logic/cli.py,function,main,(),python,Main CLI entry point.,other,code2logic,"argparse,os,sys,subprocess",,,161,1,True,False,b1d984ef
code2logic/llm.py,class,OllamaClient,(),python,,other,llm,json,,,0,1,True,False,4d71ddcc
code2logic/llm.py,method,OllamaClient.__init__,"(self,config)",python,creates,lifecycle,llm,json,,,5,1,True,False,e7ed1dfc
code2logic/llm.py,method,OllamaClient.generate,"(self,prompt,system)->str",python,Generate completion from Ollama.,other,llm,json,,,21,1,True,False,0386666b
code2logic/llm.py,method,OllamaClient.chat,"(self,messages)->str",python,Chat completion from Ollama.,other,llm,json,,,18,1,True,False,35c97be8
code2logic/llm.py,method,OllamaClient.is_available,(self)->bool,python,Check if Ollama is running.,validate,llm,json,,,7,1,True,False,201b6d92
code2logic/llm.py,method,OllamaClient.list_models,(self)->List[str],python,List available models.,validate,llm,json,,,8,1,True,False,8acb4a1e
code2logic/llm.py,class,LiteLLMClient,(),python,,other,llm,json,,,0,1,True,False,2eecf574
code2logic/llm.py,method,LiteLLMClient.__init__,"(self,config)",python,creates,lifecycle,llm,json,,,4,1,True,False,36ff49e6
code2logic/llm.py,method,LiteLLMClient.generate,"(self,prompt,system)->str",python,Generate completion via LiteLLM.,other,llm,json,,,8,1,True,False,a516eb11
code2logic/llm.py,method,LiteLLMClient.chat,"(self,messages)->str",python,Chat completion via LiteLLM.,other,llm,json,,,14,1,True,False,39a12560
code2logic/llm.py,method,LiteLLMClient.is_available,(self)->bool,python,Check if LiteLLM backend is available.,validate,llm,json,,,7,1,True,False,31dd7354
code2logic/llm.py,class,CodeAnalyzer,(),python,,other,llm,json,,,0,1,True,False,4be4a0ac
code2logic/llm.py,method,CodeAnalyzer.__init__,"(self,model,provider,base_url)",python,Initialize CodeAnalyzer.,lifecycle,llm,json,,,26,1,True,False,7da3bf44
code2logic/llm.py,method,CodeAnalyzer.is_available,(self)->bool,python,Check if LLM backend is available.,validate,llm,json,,,3,1,True,False,2c16b52f
code2logic/llm.py,method,CodeAnalyzer.suggest_refactoring,"(self,project)->List[Dict[str, Any]]",python,Analyze project and suggest refactoring improvements.,transform,llm,json,,,50,1,True,False,eff9db32
